"grappe","menage","vague","s16aq00","s16aq02","s16aq03","s16aq04","s16aq05","s16aq06","s16aq07","s16aq08","s16aq08_autre","s16aq09a","s16aq09b","s16aq10","s16aq10_autre","s16aq11","s16aq12","s16aq12_autre","s16aq13","s16aq13_autre","s16aq14__0","s16aq14__1","s16aq14__2","s16aq14__3","s16aq14__4","s16aq14__5","s16aq14__6","s16aq14__7","s16aq14a__0","s16aq14a__1","s16aq14b__0","s16aq14b__1","s16aq15","s16aq16","s16aq16_autre","s16aq17","s16aq17_autre","s16aq18","s16aq18_autre","s16aq19","s16aq19_autre","s16aq20","s16aq21","s16aq22","s16aq23","s16aq23_autre","s16aq24a","s16aq24b","s16aq24b_autre","s16aq25","s16aq26","s16aq27","s16aq28","s16aq29a1","s16aq29a2","s16aq29a2_autre","s16aq29b1","s16aq29b2","s16aq29b2_autre","s16aq29c1","s16aq29c2","s16aq29c2_autre","s16aq29d1","s16aq29d2","s16aq29d2_autre","s16aq30","s16aq31a1","s16aq31a2","s16aq31b1","s16aq31b2","s16aq31c1","s16aq31c2","s16aq31d1","s16aq31d2","s16aq32","s16aq33b_1","s16aq33a_1","s16aq33b_2","s16aq33a_2","s16aq33b_3","s16aq33a_3","s16aq33b_4","s16aq33a_4","s16aq33b_5","s16aq33a_5","s16aq33b_6","s16aq33a_6","s16aq33b_7","s16aq33a_7","s16aq33b_8","s16aq33a_8","s16aq33b_9","s16aq33a_9","s16aq33b_10","s16aq33a_10","s16aq33b_11","s16aq33a_11","s16aq33b_12","s16aq33a_12","s16aq33b_13","s16aq33a_13","s16aq33b_14","s16aq33a_14","s16aq33b_15","s16aq33a_15","s16aq33b_16","s16aq33a_16","s16aq33b_17","s16aq33a_17","s16aq33b_18","s16aq33a_18","s16aq33b_19","s16aq33a_19","s16aq33b_20","s16aq33a_20","s16aq33b_21","s16aq33a_21","s16aq33b_22","s16aq33a_22","s16aq33b_23","s16aq33a_23","s16aq33b_24","s16aq33a_24","s16aq34","s16aq35b_1","s16aq35a_1","s16aq35b_2","s16aq35a_2","s16aq35b_3","s16aq35a_3","s16aq35b_4","s16aq35a_4","s16aq35b_5","s16aq35a_5","s16aq35b_6","s16aq35a_6","s16aq35b_7","s16aq35a_7","s16aq35b_8","s16aq35a_8","s16aq35b_9","s16aq35a_9","s16aq35b_10","s16aq35a_10","s16aq35b_11","s16aq35a_11","s16aq35b_12","s16aq35a_12","s16aq35b_13","s16aq35a_13","s16aq35b_14","s16aq35a_14","s16aq35b_15","s16aq35a_15","s16aq35b_16","s16aq35a_16","s16aq35b_17","s16aq35a_17","s16aq35b_18","s16aq35a_18","s16aq35b_19","s16aq35a_19","s16aq35b_20","s16aq35a_20","s16aq35b_21","s16aq35a_21","s16aq35b_22","s16aq35a_22","s16aq35b_23","s16aq35a_23","s16aq35b_24","s16aq35a_24","s16aq35b_25","s16aq35a_25","s16aq35b_26","s16aq35a_26","s16aq35b_27","s16aq35a_27","s16aq35b_28","s16aq35a_28","s16aq36","s16aq37b_1","s16aq37a_1","s16aq37b_2","s16aq37a_2","s16aq37b_3","s16aq37a_3","s16aq37b_4","s16aq37a_4","s16aq37b_5","s16aq37a_5","s16aq37b_6","s16aq37a_6","s16aq37b_7","s16aq37a_7","s16aq37b_8","s16aq37a_8","s16aq37b_9","s16aq37a_9","s16aq37b_10","s16aq37a_10","s16aq37b_11","s16aq37a_11","s16aq37b_12","s16aq37a_12","s16aq37b_13","s16aq37a_13","s16aq37b_14","s16aq37a_14","s16aq37b_15","s16aq37a_15","s16aq37b_16","s16aq37a_16","s16aq37b_17","s16aq37a_17","s16aq37b_18","s16aq37a_18","s16aq37b_19","s16aq37a_19","s16aq37b_20","s16aq37a_20","s16aq37b_21","s16aq37a_21","s16aq37b_22","s16aq37a_22","s16aq37b_23","s16aq37a_23","s16aq37b_24","s16aq37a_24","s16aq37b_25","s16aq37a_25","s16aq37b_26","s16aq37a_26","s16aq37b_27","s16aq37a_27","s16aq37b_28","s16aq37a_28","s16aq37b_29","s16aq37a_29","s16aq37b_30","s16aq37a_30","s16aq37b_31","s16aq37a_31","s16aq37b_32","s16aq37a_32","s16aq37b_33","s16aq37a_33","s16aq38","s16aq39a_1","s16aq39b_1","s16aq39c_1","s16aq39a_2","s16aq39b_2","s16aq39c_2","s16aq39a_3","s16aq39b_3","s16aq39c_3","s16aq39a_4","s16aq39b_4","s16aq39c_4","s16aq40","s16aq41a_1","s16aq41b_1","s16aq41c_1","s16aq41a_2","s16aq41b_2","s16aq41c_2","s16aq41a_3","s16aq41b_3","s16aq41c_3","s16aq41a_4","s16aq41b_4","s16aq41c_4","s16aq42","s16aq43a_1","s16aq43b_1","s16aq43c_1","s16aq43a_2","s16aq43b_2","s16aq43c_2","s16aq43a_3","s16aq43b_3","s16aq43c_3","s16aq43a_4","s16aq43b_4","s16aq43c_4","s16aq44","s16aq45","s16aq47","s16aq48","s16aq48_autre"
186,10,1,1,1,1,5,1,1,1,26,,1.5,1,1,,1,2,,2,,1,,,,,,,,1,,1,,2,,,4,,1,,2,,1,1,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,3,3,3,4,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,3,21,4,10,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,3,20,4,10,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.5836,,
186,12,1,1,1,1,1,1,1,2,8,,0.5,1,1,,1,2,,2,,1,,,,,,,,1,,1,,2,,,5,,3,,2,,1,180,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,0,,150,1,0,,1,7,1,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,7,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,4,
186,13,1,1,1,1,6,1,1,1,2,,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,1,,3,,2,,1,132,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,1,4,0,,0,,1,6,1,4,6,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,1,5,2,7,6,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,5,"inaccessible"
186,13,1,1,1,2,1,1,1,1,8,,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,1,,3,,2,,1,132,2,,,,,,2,,2,,,,,,,,,,,,,,1,0,,1,4,0,,0,,1,7,1,2,2,4,6,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,10,2,10,6,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,5,"inaccessible"
187,9,2,1,1,1,11,1,11,1,33,,0.25,1,3,,,,,,,,,,,,,,,,,,,,,,1,,3,,3,,1,35,2,,,,,,2,,1,3,75,1,,0,,,0,,,100,1,,1,1,3,0,,0,,0,,1,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,28000,0,,,0,,,0,,,1,1,30,25000,0,,,0,,,0,,,1,10,4,60000,0,,,0,,,0,,,4,2,,4,
188,1,2,1,4,1,1,1,5,1,4,,0.25,1,1,,5,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,1,40,1,4,,5,3,,2,,1,2,0,,,0,,,0,,,1,3,,2,,,,,,,,,1,1,1,1,2,1,4,1,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.13,,
188,1,2,1,2,1,1,1,5,2,12,,0.5,1,1,,5,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,1,20,1,4,,20,3,,2,,1,2,1,3,,0,,,0,,,1,3,,1,0,,0,,1,3,0,,1,7,1,7,2,7,4,7,5,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,30,2,30,4,60,5,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,1,2,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,,1,
188,1,2,1,1,1,1,1,1,1,1,,0.75,1,1,,5,2,,7,,,,,,,,,,,,,,2,,,4,,3,,5,,1,30,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,14,1,14,2,14,4,14,5,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,2,4,4,4,5,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,3,2,,1,
188,1,2,1,3,1,5,1,5,1,33,,0.5,1,1,,5,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,2,40,1,4,,15,3,,2,,1,2,25,1,,0,,,0,,,1,3,,1,0,,0,,3,3,0,,1,7,1,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,20000,0,,,0,,,0,,,2,,,,,,,,,,,,,1,2,2,10000,0,,,0,,,0,,,2,2,,4,
188,2,2,1,1,1,4,1,4,1,3,,0.2,1,3,,,,,,,,,,,,,,,,,,,,,,1,,3,,4,,1,20,2,,,,,,2,,1,2,50,1,,0,,,0,,,75,1,,1,0,,0,,1,3,0,,1,3,4,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,4,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,2,6,2,12,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0.13,,
188,3,2,1,1,1,1,1,10,1,3,,0.75,1,1,,10,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,1,30,2,,,,,,2,,1,2,1,3,,0,,,0,,,25,1,,2,,,,,,,,,1,7,1,7,3,7,4,7,8,7,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,90,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,3,3,4,3,8,3,9,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0.104,,
188,3,2,1,2,1,10,1,1,1,15,,0.1,1,1,,10,2,,7,,,,,,,,,,,,,,2,,,4,,3,,5,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,5,1,3,3,3,4,3,8,3,9,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,1,15,8,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,3,4,4,4,8,4,9,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,4,
188,4,2,1,2,1,10,1,10,2,1,,0.3,1,1,,10,2,,7,,,,,,,,,,,,,,2,,,1,,3,,4,,1,160,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,2,1,2,10,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,4,
188,4,2,1,1,1,1,1,1,1,3,,0.5,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,2,,1,15,2,,,,,,2,,1,2,50,1,,0,,,0,,,100,1,,2,,,,,,,,,1,2,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40,1,40,12,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,10,2,12,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.14,,
188,5,2,1,1,1,1,1,1,1,3,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,5,,1,15,2,,,,,,2,,1,2,50,1,,0,,,0,,,50,1,,1,0,,0,,0.5,3,0,,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,1,30,2,30,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,11,1,0,0,,,0,,,0,,,4,1,0.1669,,
188,6,2,1,1,1,1,1,1,1,3,,0.5,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,2,,1,59,1,3,,50,1,,2,,1,1,50,1,,0,,,0,,,0,,,2,,,,,,,,,1,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.16,,
188,7,2,1,2,1,1,1,1,1,33,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,2,,5,,2,15,2,,,,,,2,,1,2,25,1,,0,,,25,1,,0,,,2,,,,,,,,,1,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,0,0,,,0,,,0,,,2,,,,,,,,,,,,,1,5,1,0,6,1,0,0,,,0,,,2,2,,5,"présence de risque pour traverser le fleuve"
188,7,2,1,3,1,2,1,2,2,8,,300,2,1,,2,2,,7,,,,,,,,,,,,,,2,,,1,,2,,5,,2,10,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,1,
188,7,2,1,1,1,1,1,1,1,3,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,5,,2,15,2,,,,,,2,,1,2,50,1,,0,,,0,,,50,1,,2,,,,,,,,,1,10,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65,1,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,0,0,,,0,,,0,,,2,,,,,,,,,,,,,1,6,1,0,0,,,0,,,0,,,2,1,0.1634,,
188,8,2,1,1,1,1,1,1,1,3,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,1,60,1,4,,2,5,,2,,1,2,54,1,,0,,,0,,,1,3,,2,,,,,,,,,1,7,1,7,2,7,3,7,5,7,6,7,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,60,2,30,3,30,5,30,6,30,7,30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,3,2,3,3,3,5,3,6,3,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.17,,
188,8,2,1,2,1,1,1,1,1,4,,0.01,1,2,,,,,,,,,,,,,,,,,,,,,,2,,3,,5,,1,10,1,4,,1,5,,2,,1,1,4,1,,0,,,0,,,0,,,2,,,,,,,,,1,1,1,1,2,1,3,1,5,1,6,1,7,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,60,1,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,,1,
188,9,2,1,2,1,28,1,28,1,3,,0.52,1,1,,28,2,,7,,,,,,,,,,,,,,2,,,2,,3,,5,,1,30,1,4,,20,3,,2,,1,1,4,3,,0,,,0,,,0,,,2,,,,,,,,,1,6,2,6,5,5,18,10,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,30,5,30,18,60,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,7,5,7,18,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,4,
188,9,2,1,1,1,18,1,18,1,15,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,15,2,15,5,16,18,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,65,2,65,5,69,18,70,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,5,1,10,1,14,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,5,"traverser du fleuve présentant des risques"
188,9,2,1,1,2,18,1,5,1,15,,,1,2,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,,1,10,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,5,2,5,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,65,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,5,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,2,,1,
188,10,2,1,1,1,1,2,,1,3,,0.5,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,2,,2,60,2,,,,,,2,,1,2,50,1,,0,,,0,,,100,1,,2,,,,,,,,,1,30,2,30,5,30,7,30,9,30,14,15,15,30,16,30,18,15,20,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,2,30,5,30,7,30,9,30,14,15,15,30,16,30,18,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,2,15,5,15,7,15,9,15,14,15,15,15,16,15,18,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,2,,4,
189,1,1,1,1,2,1,1,1,1,11,,0.25,1,1,,5,4,,2,,5,,,,,,,,5,,5,,2,,,1,,3,,2,,1,4,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,1,4,2,8,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.348,,
189,1,1,1,1,1,1,1,1,1,4,,0.25,1,1,,5,4,,2,,5,,,,,,,,5,,5,,2,,,1,,3,,2,,1,4,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,5,1,2,2,5,3,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,5,2,10,3,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.2956,,
189,3,1,1,1,1,2,1,2,1,4,,3000,2,1,,2,2,,2,,2,,,,,,,,2,,2,,2,,,1,,3,,2,,3,26,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,15,2,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,2,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,15,0,8,15,0,6,11,0,9,13,0,1,7,7,0,9,7,0,10,7,0,10,6,0,2,,,,,,,,,,,,,2,1,0.35005,,
189,4,1,1,2,1,1,1,1,1,8,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,5,,3,,3,,1,15,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,3,1,3,8,3,10,3,11,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,1,45,2,36,7,45,8,40,10,40,11,40,12,15,14,25,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.1009,,
189,4,1,1,1,1,1,2,,1,54,,1,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,5,,3,,3,,1,5,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,1,1,0.3804,,
189,4,1,1,2,2,1,1,1,1,15,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,5,,3,,3,,1,15,2,,,,,,2,,2,,,,,,,,,,,,,,2,,,,,,,,,1,2,1,2,2,2,7,1,8,2,10,2,11,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,1,15,7,20,8,17,10,12,11,15,12,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,1,0.3006,,
189,5,1,1,2,1,3,2,,1,11,,0.25,1,1,,1,2,,7,,,,,,,,,,,,,,2,,,1,,3,,2,,1,15,2,,,,,,2,,2,,,,,,,,,,,,,,1,0.5,3,0,,0,,0,,1,4,1,4,2,1,6,2,7,2,8,3,9,3,14,2,18,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,6,2,6,3,6,7,4,8,6,9,6,11,5,14,6,18,8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,4,1,0.3259,,
