"grappe","s04q00","s04q00_autre","s04q01","s04q02","s04q03","s04q03_autre","s04q04","s04q05_1","s04q05_2","s04q05_3","s04q05_4","s04q05_5","s04q05_6","s04q05_7","s04q05_8","s04q05_9","s04q05_10","s04q05_11","s04q05_12","s04q05_autre","s04q06","s04q07_1","s04q07_2","s04q07_3","s04q07_4","s04q07_5","s04q07_6","s04q07_7","s04q07_8","s04q07_autre","s04q08","s04q09_1","s04q09_2","s04q09_3","s04q09_4","s04q09_5","s04q09_6"
593,10,,1,1,2,,1,1,1,2,1,2,2,2,2,1,2,2,1,"conseiller du village",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
593,11,,1,1,10,,1,1,1,2,2,1,2,2,2,1,2,2,2,,1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
593,12,,1,1,2,,1,1,2,2,2,2,2,2,2,2,2,2,1,"les personnes ressources du quartier ou se trouve le forage",1,2,2,2,2,2,2,2,1,"cotisations des habitants du quartier ou se trouve le forage",,2,1,2,2,2,2
593,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,17,,1,1,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2
593,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,2,,1,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,1
594,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,11,,1,1,1,,1,2,2,2,2,1,2,2,2,2,2,2,1,"conseiller du village",1,2,2,1,1,2,2,2,2,,1,2,2,1,2,2,1
594,12,,1,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2
594,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,2,,1,1,1,,1,2,2,2,2,2,2,2,2,2,2,2,1,"les autorites municipales et les notables du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
595,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,6,,1,1,4,,1,2,2,1,2,2,2,2,2,2,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
595,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,2,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"conseiller municipal du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
596,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,4,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"conseiller municipal du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
596,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,7,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,11,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,17,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,18,"fosses",1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"conseiller municipal du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
597,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,2,,1,1,13,"conseiller  municipal du secteur",1,1,2,2,2,2,2,2,2,2,2,2,1,"les jeunes du secteur",1,2,2,2,2,2,2,2,1,"cotisations volontaires",,2,1,2,2,2,1
597,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,6,,1,1,1,,1,2,2,1,2,2,2,2,2,2,2,2,2,,1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
597,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,8,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,9,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,11,,1,1,13,"les habitants du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les habitants du secteur",1,2,2,2,1,2,2,2,2,,1,2,2,2,2,2,2
597,12,,1,1,12,,1,2,2,2,2,2,2,2,2,2,2,1,1,"les femmes du secteur",1,2,2,2,2,2,2,2,1,"cotisations volontaires des habitants du secteur",,2,2,2,2,2,2
597,13,,1,1,13,"les populations du secteur",1,1,2,2,2,2,2,2,2,2,2,2,1,"la population du secteur",1,2,1,2,2,2,2,2,1,"un projet onu habitat",1,2,2,1,2,2,2
597,14,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,17,,1,1,13,"la population du secteur",1,1,2,2,2,2,2,2,2,2,2,2,1,"la population du secteur",1,2,1,2,2,2,2,2,2,,1,2,2,1,2,,2
597,18,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,2,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,2,2,2,2
598,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,5,,1,1,4,,1,2,2,1,2,2,2,2,2,2,2,2,2,,2,,,,,,,,,,,2,2,1,2,2,2
598,6,,1,1,13,"conseiller municipal du secteur",1,2,2,2,2,2,2,2,2,1,2,2,1,"les autorites municipales",1,2,1,2,2,2,2,2,2,,1,2,2,1,2,2,2
598,7,,1,1,13,"conseiller municipal du secteur",2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2
