"grappe","menage","vague","s13q00","s13q01","s13q02","s13q03","s13q04","s13q05","s13q06","s13q07","s13q08","s13q09"
18,11,2,2,2,,2,,2,2,2,2,0
18,12,2,1,2,,2,,2,2,2,2,0
19,1,1,5,1,1,1,2,1,2,1,1,1
19,2,1,1,1,2,1,1,1,2,1,1,1
19,4,1,4,2,,2,,2,2,2,2,0
19,7,1,2,1,1,2,,2,2,1,1,1
19,8,1,1,2,,2,,2,2,2,2,0
19,10,1,1,1,1,1,1,2,1,1,2,1
19,12,1,1,1,1,2,,2,2,2,1,1
19,13,1,1,1,2,1,2,2,2,2,2,0
19,14,1,1,2,,2,,2,2,2,2,0
19,15,1,1,1,2,1,2,2,2,2,2,0
19,16,1,3,2,,2,,2,1,2,1,1
19,17,1,1,2,,2,,2,2,2,2,0
20,1,2,10,2,,2,,1,2,2,2,1
20,3,2,1,2,,2,,2,2,2,2,0
20,4,2,2,2,,2,,1,2,2,2,1
20,6,2,2,1,2,1,2,2,2,2,2,0
20,7,2,1,2,,1,1,1,2,2,2,1
20,8,2,1,2,,2,,2,2,2,2,0
20,9,2,1,2,,2,,2,2,2,2,0
20,10,2,1,1,1,1,2,1,2,2,2,1
20,11,2,1,1,1,1,2,1,2,2,2,1
20,12,2,2,1,1,2,,1,2,2,2,1
20,13,2,1,2,,2,,2,2,2,2,0
20,14,2,1,2,,2,,2,2,2,2,0
21,2,1,3,1,1,1,2,2,2,2,2,1
21,6,1,1,2,,1,2,1,2,2,2,1
21,7,1,1,1,2,1,2,2,1,2,2,1
21,8,1,1,2,,1,2,2,2,2,2,0
21,10,1,1,2,,2,,2,2,2,2,0
21,11,1,1,2,,1,2,2,2,2,2,0
21,13,1,1,2,,2,,2,2,2,2,0
21,14,1,1,2,,2,,2,2,2,2,0
21,15,1,1,1,2,1,2,2,2,2,2,0
21,16,1,1,1,1,1,2,2,2,2,2,1
21,17,1,1,2,,2,,2,2,2,1,1
21,18,1,1,1,1,1,2,2,2,2,2,1
22,1,2,1,2,,2,,2,2,2,2,0
22,2,2,1,2,,2,,2,2,1,2,1
22,5,2,1,1,1,1,2,1,2,2,2,1
22,6,2,1,2,,2,,2,2,2,2,0
22,7,2,1,2,,2,,1,2,2,2,1
22,8,2,2,2,,2,,1,2,2,2,1
22,9,2,1,1,1,2,,1,2,1,1,1
22,10,2,1,1,1,1,2,2,2,2,2,1
22,11,2,1,2,,2,,2,2,2,2,0
22,12,2,1,2,,1,1,1,2,1,1,1
22,13,2,1,2,,2,,2,2,2,2,0
22,14,2,1,2,,2,,2,2,2,2,0
23,1,1,1,2,,1,1,2,1,1,2,1
23,3,1,1,2,,1,1,1,2,2,1,1
23,4,1,1,2,,2,,2,1,2,2,1
23,7,1,1,2,,2,,2,2,2,2,0
23,8,1,1,1,1,2,,2,2,2,2,1
23,9,1,3,2,,2,,1,2,2,2,1
23,11,1,1,1,1,1,2,1,2,2,2,1
23,13,1,2,1,1,1,1,2,2,2,2,1
23,14,1,1,2,,2,,1,2,2,2,1
23,15,1,5,2,,2,,2,2,2,2,0
23,16,1,1,1,1,2,,2,2,2,1,1
23,17,1,2,2,,1,2,2,2,1,2,1
24,2,2,5,1,1,2,,2,1,1,2,1
24,3,2,5,2,,2,,2,2,2,2,0
24,4,2,3,2,,2,,1,2,2,2,1
24,5,2,1,2,,1,2,2,2,2,2,0
24,6,2,1,1,2,2,,2,1,1,2,1
24,8,2,2,1,2,2,,2,1,2,1,1
24,9,2,1,2,,2,,2,2,1,2,1
24,12,2,1,2,,2,,2,1,2,1,1
24,13,2,1,1,1,2,,2,1,2,2,1
24,14,2,1,2,,2,,2,2,2,2,0
24,15,2,1,1,1,2,,2,2,1,2,1
24,16,2,1,1,2,2,,2,2,2,2,0
25,2,1,1,2,,2,,2,2,2,2,0
25,3,1,2,2,,2,,2,2,2,2,0
25,5,1,1,2,,2,,2,2,2,2,0
25,6,1,1,2,,2,,2,2,2,2,0
25,7,1,1,2,,2,,2,2,1,1,1
25,9,1,3,2,,2,,2,2,2,2,0
25,10,1,9,1,1,2,,2,2,1,2,1
25,11,1,1,2,,2,,2,2,2,2,0
25,12,1,6,1,1,1,1,1,2,2,2,1
25,13,1,2,2,,2,,2,2,2,2,0
25,14,1,1,2,,2,,1,2,2,2,1
25,15,1,1,2,,2,,2,1,2,2,1
26,1,2,1,1,2,2,,2,1,2,2,1
26,2,2,1,2,,2,,2,2,2,2,0
26,4,2,1,2,,2,,2,1,1,2,1
26,5,2,1,2,,2,,2,2,1,2,1
26,6,2,1,1,2,2,,2,1,1,2,1
26,7,2,1,2,,2,,2,2,2,2,0
26,13,2,4,1,1,1,1,2,1,1,2,1
26,14,2,2,2,,2,,2,1,2,2,1
26,15,2,9,2,,2,,2,2,2,2,0
26,16,2,2,1,1,2,,1,2,2,2,1
26,17,2,1,1,1,1,2,1,2,1,1,1
26,18,2,1,2,,2,,2,1,2,2,1
27,2,1,1,1,1,2,,1,2,2,2,1
27,3,1,1,1,1,1,1,2,1,2,2,1
27,4,1,1,2,,2,,2,2,2,2,0
27,5,1,6,2,,1,1,2,1,2,2,1
27,6,1,2,2,,2,,1,1,2,2,1
27,7,1,8,2,,2,,2,2,2,2,0
27,8,1,2,2,,1,1,2,2,2,2,1
27,10,1,8,2,,2,,2,1,2,1,1
27,11,1,5,2,,2,,2,2,1,2,1
27,12,1,12,2,,2,,2,1,1,1,1
27,13,1,2,2,,2,,2,2,2,1,1
27,14,1,2,2,,2,,2,2,2,2,0
28,1,2,1,1,2,1,2,2,2,2,2,0
28,2,2,1,1,1,2,,2,2,2,2,1
28,3,2,1,2,,2,,2,2,2,2,0
28,4,2,1,2,,2,,2,2,2,2,0
28,5,2,8,1,2,2,,2,2,2,2,0
28,6,2,2,1,1,2,,2,2,2,2,1
28,7,2,1,1,1,2,,2,2,2,2,1
28,8,2,1,1,1,1,2,1,1,2,1,1
28,9,2,1,1,2,2,,2,2,2,2,0
28,10,2,2,1,1,1,2,1,2,2,2,1
28,11,2,1,2,,2,,1,2,1,2,1
28,12,2,2,1,1,2,,2,1,1,2,1
29,3,1,1,2,,1,2,2,2,1,2,1
29,5,1,4,1,1,2,,1,2,2,2,1
29,11,1,1,2,,2,,2,2,2,2,0
29,12,1,1,1,1,1,2,1,2,1,2,1
29,13,1,1,2,,2,,2,2,2,2,0
29,14,1,2,1,1,2,,1,2,2,2,1
29,15,1,2,2,,2,,2,2,2,2,0
29,16,1,1,1,2,2,,2,1,1,1,1
29,17,1,1,2,,2,,2,1,2,2,1
29,18,1,1,2,,2,,2,1,1,2,1
29,19,1,1,2,,1,2,1,1,2,1,1
30,1,2,2,1,1,2,,2,2,2,2,1
30,2,2,1,1,1,2,,2,2,2,2,1
30,3,2,1,1,2,2,,2,2,2,2,0
30,4,2,5,1,1,2,,2,2,2,2,1
30,7,2,1,1,2,2,,2,2,2,2,0
30,9,2,1,2,,2,,2,1,2,2,1
30,12,2,1,1,1,2,,2,2,2,2,1
30,13,2,1,2,,2,,1,2,2,2,1
30,14,2,1,1,2,2,,2,2,2,2,0
30,15,2,2,2,,2,,2,1,2,2,1
