"grappe","menage","vague","s20bq02","s20bq02a","s20bq02b"
6,5,2,9,1,1
6,5,2,2,1,2
6,6,2,6,1,2
6,6,2,5,1,3
6,6,2,3,1,3
6,6,2,1,1,2
6,6,2,9,1,3
6,6,2,7,1,1
6,6,2,2,1,2
6,6,2,8,1,1
6,6,2,4,1,1
6,7,2,4,2,3
6,7,2,9,2,2
6,7,2,2,1,3
6,7,2,3,2,2
6,7,2,1,1,2
6,7,2,7,1,1
6,7,2,6,2,1
6,7,2,5,2,3
6,7,2,8,2,2
6,8,2,8,1,2
6,8,2,2,1,2
6,8,2,9,1,3
6,8,2,7,1,1
6,8,2,4,2,2
6,8,2,3,1,3
6,8,2,5,1,2
6,8,2,1,2,2
6,8,2,6,2,4
6,10,2,6,2,3
6,10,2,1,2,3
6,10,2,5,1,3
6,10,2,8,1,2
6,10,2,7,1,3
6,10,2,3,1,1
6,10,2,4,2,1
6,10,2,9,1,1
6,10,2,2,2,2
6,11,2,7,1,2
6,11,2,9,1,2
6,11,2,3,1,2
6,11,2,1,1,2
6,11,2,2,1,2
6,11,2,4,1,3
6,11,2,6,1,2
6,11,2,5,1,2
6,11,2,8,1,2
6,12,2,9,1,2
6,12,2,2,1,3
6,12,2,8,1,2
6,12,2,3,1,4
6,12,2,5,1,3
6,12,2,7,1,1
6,12,2,6,1,2
6,12,2,1,1,2
6,12,2,4,1,2
6,13,2,3,1,3
6,13,2,6,1,3
6,13,2,5,1,3
6,13,2,1,1,3
6,13,2,4,1,2
6,13,2,2,1,3
6,13,2,9,1,2
6,13,2,8,1,3
6,13,2,7,1,2
6,14,2,6,1,3
6,14,2,1,1,2
6,14,2,8,1,3
6,14,2,9,1,2
6,14,2,2,2,2
6,14,2,3,1,3
6,14,2,5,1,3
6,14,2,7,1,2
6,14,2,4,1,2
7,1,1,2,1,4
7,1,1,3,1,3
7,1,1,6,1,2
7,1,1,5,1,3
7,1,1,1,1,3
7,1,1,8,1,2
7,1,1,9,1,3
7,1,1,7,1,1
7,1,1,4,1,2
7,2,1,9,1,3
7,2,1,6,1,1
7,2,1,7,1,1
7,2,1,3,1,4
7,2,1,8,1,1
7,2,1,2,1,2
7,2,1,1,1,3
7,2,1,4,1,2
7,2,1,5,1,4
7,3,1,1,1,3
7,3,1,7,1,1
7,3,1,2,1,3
7,3,1,6,1,2
7,3,1,9,1,3
7,3,1,5,1,4
7,3,1,8,1,2
7,3,1,3,1,3
7,3,1,4,1,2
7,13,1,4,1,1
7,13,1,6,1,1
7,13,1,5,1,2
7,13,1,1,1,1
7,13,1,2,1,1
7,13,1,9,1,2
7,13,1,7,1,1
7,13,1,8,1,1
7,13,1,3,1,3
7,14,1,1,1,2
7,14,1,2,1,3
7,14,1,3,1,3
7,14,1,5,1,4
7,14,1,6,1,2
7,14,1,9,1,3
7,14,1,7,1,1
7,14,1,4,1,2
7,14,1,8,1,2
7,15,1,5,1,4
7,15,1,4,1,2
7,15,1,3,1,4
7,15,1,2,1,3
7,15,1,8,1,1
7,15,1,1,1,3
7,15,1,6,1,1
7,15,1,7,1,1
7,15,1,9,1,3
7,16,1,4,1,1
7,16,1,8,1,1
7,16,1,2,1,1
7,16,1,9,1,1
7,16,1,3,1,3
7,16,1,1,1,2
7,16,1,5,1,2
7,16,1,7,1,1
7,16,1,6,1,1
7,17,1,9,1,1
7,17,1,1,1,2
7,17,1,4,1,1
7,17,1,8,1,1
7,17,1,2,1,2
7,17,1,7,1,1
7,17,1,3,1,3
7,17,1,5,1,3
7,17,1,6,1,1
8,2,2,3,1,4
8,2,2,9,1,2
8,2,2,5,1,3
8,2,2,1,1,4
8,2,2,8,1,2
8,2,2,6,1,2
8,2,2,2,1,4
8,2,2,7,1,2
8,2,2,4,1,3
8,3,2,5,1,3
8,3,2,2,1,2
8,3,2,8,1,2
8,3,2,6,1,2
8,3,2,9,1,3
8,3,2,1,1,2
8,3,2,4,1,2
8,3,2,3,1,2
8,3,2,7,1,2
8,5,2,3,1,3
8,5,2,4,1,3
8,5,2,2,1,3
8,5,2,9,1,2
8,5,2,8,1,2
8,5,2,6,1,2
8,5,2,1,1,3
8,5,2,5,1,3
8,5,2,7,1,1
8,7,2,2,1,2
8,7,2,9,1,3
8,7,2,7,1,1
8,7,2,6,1,1
8,7,2,5,1,3
8,7,2,3,1,3
8,7,2,1,1,3
8,7,2,4,2,1
8,7,2,8,2,2
8,8,2,9,1,2
8,8,2,6,1,1
8,8,2,7,1,1
8,8,2,1,1,2
8,8,2,3,1,3
8,8,2,2,1,2
8,8,2,8,1,1
8,8,2,5,1,2
8,8,2,4,1,1
8,9,2,1,1,3
8,9,2,5,2,2
8,9,2,8,2,1
8,9,2,4,1,3
8,9,2,6,2,1
8,9,2,7,1,1
8,9,2,3,1,2
8,9,2,2,1,1
8,9,2,9,1,3
8,10,2,9,1,2
8,10,2,7,1,2
8,10,2,4,1,2
8,10,2,1,1,2
8,10,2,2,1,3
8,10,2,8,1,2
8,10,2,5,1,3
8,10,2,6,1,2
8,10,2,3,1,3
8,12,2,9,1,2
8,12,2,8,1,2
8,12,2,5,1,3
8,12,2,4,1,2
8,12,2,2,1,3
8,12,2,6,1,2
8,12,2,1,1,3
8,12,2,7,1,2
8,12,2,3,1,4
8,13,2,3,1,3
8,13,2,6,1,2
8,13,2,9,1,3
8,13,2,8,1,2
8,13,2,1,1,3
8,13,2,4,1,2
8,13,2,5,1,3
8,13,2,2,1,3
8,13,2,7,1,2
8,14,2,3,2,3
8,14,2,6,1,2
8,14,2,5,2,3
8,14,2,4,2,3
8,14,2,2,1,2
8,14,2,8,2,3
8,14,2,7,1,2
8,14,2,9,1,1
8,14,2,1,2,3
8,15,2,6,1,1
8,15,2,2,1,3
8,15,2,8,1,2
8,15,2,4,1,2
8,15,2,1,1,3
8,15,2,3,1,2
8,15,2,7,1,1
8,15,2,9,1,2
8,15,2,5,1,2
8,16,2,3,1,3
8,16,2,5,1,1
8,16,2,6,1,2
8,16,2,1,1,4
8,16,2,8,2,4
8,16,2,4,2,3
8,16,2,2,1,3
8,16,2,9,1,1
8,16,2,7,1,1
9,2,1,4,1,2
9,2,1,2,1,3
9,2,1,8,1,1
9,2,1,3,1,4
9,2,1,6,1,1
9,2,1,5,1,2
9,2,1,1,1,3
9,2,1,9,1,2
9,2,1,7,1,1
9,5,1,9,1,3
9,5,1,4,1,2
9,5,1,7,1,1
9,5,1,1,1,3
9,5,1,2,2,3
9,5,1,6,1,3
9,5,1,3,1,4
9,5,1,5,1,4
9,5,1,8,1,2
9,6,1,3,1,4
9,6,1,5,1,3
9,6,1,7,1,1
9,6,1,8,1,1
9,6,1,6,1,1
9,6,1,4,1,1
9,6,1,9,1,3
9,6,1,2,1,2
9,6,1,1,1,2
9,7,1,2,2,2
9,7,1,7,1,1
9,7,1,3,1,4
9,7,1,9,1,4
9,7,1,8,1,2
9,7,1,6,1,4
9,7,1,5,1,4
9,7,1,4,1,1
9,7,1,1,2,3
9,8,1,7,1,1
9,8,1,9,1,1
9,8,1,1,1,3
9,8,1,5,1,3
9,8,1,4,1,1
9,8,1,2,1,2
9,8,1,6,1,1
9,8,1,3,1,3
9,8,1,8,1,1
9,9,1,7,1,1
9,9,1,3,1,2
9,9,1,1,1,2
9,9,1,4,1,1
9,9,1,5,1,1
9,9,1,6,1,1
9,9,1,9,1,2
9,9,1,2,1,2
9,9,1,8,1,1
9,10,1,8,1,2
9,10,1,7,1,4
9,10,1,9,1,3
9,10,1,6,1,3
9,10,1,4,1,2
9,10,1,3,1,3
9,10,1,5,1,3
9,10,1,1,1,3
9,10,1,2,2,3
9,11,1,4,1,1
9,11,1,6,1,1
9,11,1,9,1,4
9,11,1,3,1,4
9,11,1,2,1,2
9,11,1,5,1,2
9,11,1,8,1,1
9,11,1,7,1,1
9,11,1,1,1,2
9,12,1,2,1,3
9,12,1,9,2,4
9,12,1,4,1,3
9,12,1,1,1,3
9,12,1,7,1,1
9,12,1,6,1,2
9,12,1,8,1,2
9,12,1,3,1,4
9,12,1,5,1,3
9,13,1,6,1,1
9,13,1,1,1,4
9,13,1,7,1,1
9,13,1,8,1,1
9,13,1,3,1,4
9,13,1,9,1,3
9,13,1,5,1,3
9,13,1,2,1,3
9,13,1,4,1,2
9,14,1,7,1,1
9,14,1,6,1,1
9,14,1,2,1,2
9,14,1,8,1,1
9,14,1,9,1,3
9,14,1,1,1,2
9,14,1,4,1,1
9,14,1,5,1,3
9,14,1,3,1,4
9,15,1,3,1,4
9,15,1,5,1,3
9,15,1,4,1,2
9,15,1,7,1,1
9,15,1,2,1,2
9,15,1,9,1,4
9,15,1,8,1,2
9,15,1,1,1,3
9,15,1,6,1,3
10,1,2,6,1,1
10,1,2,2,1,3
10,1,2,4,1,3
10,1,2,7,1,1
10,1,2,3,1,3
10,1,2,5,1,2
10,1,2,1,1,3
10,1,2,8,1,2
10,1,2,9,1,1
10,2,2,5,1,2
10,2,2,6,1,1
10,2,2,1,1,4
10,2,2,7,1,1
10,2,2,9,1,2
10,2,2,2,1,2
10,2,2,8,1,1
10,2,2,3,1,3
10,2,2,4,1,1
10,3,2,2,2,4
10,3,2,7,1,1
10,3,2,6,1,3
10,3,2,5,1,4
10,3,2,1,2,4
10,3,2,4,1,1
10,3,2,9,1,3
10,3,2,3,1,4
10,3,2,8,1,1
10,4,2,1,1,3
10,4,2,8,2,3
10,4,2,5,1,3
10,4,2,3,1,3
10,4,2,4,1,3
10,4,2,6,2,3
10,4,2,7,1,2
10,4,2,9,1,3
10,4,2,2,1,3
10,5,2,6,1,3
10,5,2,8,1,1
10,5,2,1,1,3
10,5,2,3,1,3
10,5,2,4,1,1
10,5,2,5,1,2
10,5,2,2,1,3
10,5,2,7,1,1
10,5,2,9,1,3
10,6,2,6,1,3
10,6,2,8,1,3
10,6,2,1,1,3
10,6,2,7,1,3
10,6,2,2,1,3
10,6,2,4,1,3
10,6,2,9,1,3
10,6,2,3,1,3
10,6,2,5,1,3
10,7,2,3,1,3
10,7,2,6,1,2
10,7,2,8,1,1
10,7,2,9,1,3
10,7,2,1,1,3
10,7,2,2,1,3
10,7,2,4,1,2
10,7,2,5,1,3
10,7,2,7,1,1
10,8,2,7,1,1
10,8,2,2,1,1
10,8,2,9,1,2
10,8,2,8,2,4
10,8,2,1,2,1
10,8,2,3,1,2
10,8,2,4,2,4
10,8,2,5,2,3
10,8,2,6,1,2
10,12,2,1,1,2
10,12,2,3,1,3
10,12,2,9,1,3
10,12,2,7,1,2
10,12,2,6,1,2
10,12,2,2,1,3
10,12,2,8,1,2
10,12,2,5,1,3
10,12,2,4,1,2
10,13,2,1,1,1
10,13,2,4,1,1
10,13,2,9,1,1
10,13,2,5,2,3
10,13,2,2,1,1
10,13,2,3,1,4
10,13,2,6,1,3
10,13,2,8,1,1
10,13,2,7,2,3
10,14,2,5,1,3
10,14,2,3,1,3
10,14,2,1,1,2
10,14,2,2,1,3
10,14,2,4,1,2
10,14,2,6,1,2
10,14,2,8,1,2
10,14,2,7,1,1
10,14,2,9,1,3
10,15,2,5,1,3
10,15,2,1,1,3
10,15,2,2,1,2
10,15,2,3,1,2
10,15,2,6,1,1
10,15,2,8,1,2
10,15,2,9,1,2
10,15,2,4,1,2
10,15,2,7,1,1
11,3,1,6,1,2
11,3,1,2,1,1
11,3,1,3,2,4
11,3,1,8,1,2
11,3,1,1,2,3
11,3,1,5,2,4
11,3,1,9,1,1
11,3,1,7,1,1
11,3,1,4,1,1
11,4,1,9,1,2
11,4,1,1,1,2
11,4,1,8,1,1
11,4,1,2,1,2
11,4,1,4,1,1
11,4,1,3,1,3
11,4,1,5,1,3
11,4,1,7,1,1
11,4,1,6,1,1
11,5,1,1,1,2
11,5,1,5,1,3
11,5,1,8,1,1
11,5,1,3,1,4
11,5,1,2,2,1
11,5,1,9,1,2
11,5,1,6,1,3
11,5,1,7,1,3
11,5,1,4,1,1
11,6,1,5,1,2
11,6,1,1,1,2
11,6,1,9,1,2
11,6,1,4,1,2
11,6,1,2,1,3
11,6,1,8,1,2
11,6,1,7,1,1
11,6,1,6,1,3
11,6,1,3,1,4
11,7,1,6,1,2
11,7,1,9,1,3
11,7,1,2,1,1
11,7,1,7,1,1
11,7,1,3,2,4
11,7,1,1,1,1
11,7,1,4,1,1
11,7,1,8,1,2
11,7,1,5,2,3
11,8,1,3,1,3
11,8,1,2,1,2
11,8,1,9,1,2
11,8,1,1,1,2
11,8,1,4,1,1
11,8,1,7,1,1
11,8,1,5,1,3
11,8,1,6,1,3
11,8,1,8,1,2
11,10,1,9,1,1
11,10,1,2,1,2
11,10,1,4,1,1
11,10,1,7,1,1
11,10,1,6,1,1
11,10,1,3,1,3
11,10,1,8,1,1
11,10,1,1,1,2
11,10,1,5,1,1
11,12,1,5,1,1
11,12,1,2,1,1
11,12,1,1,1,1
11,12,1,9,1,1
11,12,1,6,2,3
11,12,1,4,1,1
11,12,1,3,2,4
11,12,1,7,1,1
11,12,1,8,1,2
11,13,1,4,1,2
11,13,1,9,1,2
11,13,1,8,1,1
11,13,1,3,2,3
11,13,1,2,1,3
11,13,1,6,1,1
11,13,1,1,1,1
11,13,1,5,1,2
11,13,1,7,1,1
11,14,1,3,1,1
11,14,1,7,1,1
11,14,1,9,1,2
11,14,1,8,1,1
11,14,1,1,1,1
11,14,1,5,1,4
11,14,1,2,1,1
11,14,1,4,1,1
11,14,1,6,1,2
11,15,1,1,1,2
11,15,1,6,1,3
11,15,1,5,1,2
11,15,1,7,1,1
11,15,1,3,1,2
11,15,1,4,1,2
11,15,1,2,1,2
11,15,1,9,1,2
11,15,1,8,1,2
12,1,2,4,2,1
12,1,2,8,1,1
12,1,2,7,1,2
12,1,2,6,1,2
12,1,2,2,1,1
12,1,2,9,1,1
12,1,2,3,1,3
12,1,2,5,2,2
12,1,2,1,2,2
12,2,2,8,1,2
12,2,2,1,1,3
12,2,2,9,1,1
12,2,2,6,1,1
12,2,2,5,1,2
12,2,2,4,1,2
12,2,2,2,1,3
12,2,2,3,1,3
12,2,2,7,1,1
12,3,2,6,1,3
12,3,2,1,1,3
