"vague","grappe","menage","poids","poids_nonlisse"
1,429,4,183.226926016639,118.128473738322
2,426,6,150.706324236837,143.212843760289
2,424,7,142.254747907385,99.8892688043151
2,426,10,150.706324236837,143.212843760289
2,428,10,144.893500272642,99.2384179710996
1,427,3,236.284987180576,239.188190585949
2,443,5,131.986195696331,118.003360526691
1,425,1,218.703704300081,157.406132669559
1,425,6,218.703704300081,157.406132669559
2,439,5,152.261299259868,132.952181847039
2,437,15,159.334281360626,190.835497204158
2,443,13,175.667060329818,209.034524361567
2,439,13,211.449856908405,256.407779276433
1,438,3,191.115093132659,138.981390465221
1,442,13,172.043122183177,210.907928278665
2,443,7,131.986195696331,118.003360526691
1,438,7,191.115093132659,138.981390465221
1,429,10,183.226926016639,118.128473738322
2,441,4,83.289120443428,62.9346680176844
2,437,3,118.016172506376,104.694474160615
2,424,11,142.254747907385,99.8892688043151
1,438,12,191.115093132659,138.981390465221
1,438,11,191.115093132659,138.981390465221
1,429,5,183.226926016639,118.128473738322
2,437,6,118.016172506376,104.694474160615
1,423,3,169.271757979621,197.696683244684
2,428,12,144.893500272642,99.2384179710996
2,439,11,211.449856908405,256.407779276433
2,428,9,144.893500272642,99.2384179710996
1,421,9,139.174747361769,95.1591688582358
2,424,4,142.254747907385,99.8892688043151
2,428,8,144.893500272642,99.2384179710996
2,428,1,144.893500272642,99.2384179710996
2,441,6,177.833946468012,286.908045374738
2,428,13,456.147454746899,983.541152367036
1,429,11,183.226926016639,118.128473738322
1,427,4,236.284987180576,239.188190585949
1,440,13,187.475174867398,211.958059879351
1,427,5,236.284987180576,239.188190585949
2,437,5,118.016172506376,104.694474160615
2,441,9,83.289120443428,62.9346680176844
2,441,13,177.833946468012,286.908045374738
2,426,11,150.706324236837,143.212843760289
1,425,10,218.703704300081,157.406132669559
2,426,3,150.706324236837,143.212843760289
2,426,9,150.706324236837,143.212843760289
1,442,6,120.698703555063,103.806245949656
2,428,2,144.893500272642,99.2384179710996
2,426,2,150.706324236837,143.212843760289
1,442,7,120.698703555063,103.806245949656
1,425,11,218.703704300081,157.406132669559
1,429,9,183.226926016639,118.128473738322
2,439,12,152.261299259868,132.952181847039
1,429,8,183.226926016639,118.128473738322
1,423,12,124.873657073967,107.590031697787
1,425,9,218.703704300081,157.406132669559
2,443,15,175.667060329818,209.034524361567
1,425,7,218.703704300081,157.406132669559
1,440,15,187.475174867398,211.958059879351
2,428,4,144.893500272642,99.2384179710996
1,421,1,139.174747361769,95.1591688582358
1,429,7,183.226926016639,118.128473738322
2,422,13,234.103579637201,320.035817001041
1,438,2,191.115093132659,138.981390465221
1,423,6,169.271757979621,197.696683244684
2,426,1,172.564408183903,187.767950707935
1,442,16,172.043122183177,210.907928278665
2,422,4,139.319496570396,113.346018521202
1,425,13,440.132714771395,637.494837311714
2,437,8,118.016172506376,104.694474160615
