"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"GNB",12212909,2021,122129,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549999997019768,0,0,0,0,0,1,1,0,1,0,0
"GNB",12222101,2021,122221,1,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.53749999916181,0,0,0,0,1,1,1,0,1,0,0
"GNB",12222102,2021,122221,2,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.0334999999031,0,0,0,0,17,0,1,1,1,0,0
"GNB",12222103,2021,122221,3,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.08669999986887,0,3,0,0,4,0,1,1,1,1,0
"GNB",12222104,2021,122221,4,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5299999993294,0,6,20,0,40,1,0,0,1,1,0
"GNB",12222105,2021,122221,5,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0
"GNB",12222106,2021,122221,6,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1,0,20,0,5,0,0,1,1,0,0
"GNB",12222107,2021,122221,7,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00249999994412,3,3,4,0,10,0,1,0,0,1,0
"GNB",12222108,2021,122221,8,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0199999997858,10,0,3,0,12,0,0,1,0,0,0
"GNB",12222109,2021,122221,9,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0109999999404,5,12,19,0,33,0,1,1,0,0,0
"GNB",12222301,2021,122223,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03499999921769,2,0,4,0,19,1,1,1,0,0,0
"GNB",12222302,2021,122223,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00499999988824129,1,1,0,0,1,0,0,1,0,0,0
"GNB",12222303,2021,122223,3,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.04019999923185,0,0,6,0,7,1,1,1,0,0,0
"GNB",12222304,2021,122223,4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0149999996647239,1,0,5,0,7,0,1,1,0,0,0
"GNB",12222305,2021,122223,5,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,12,6,0,35,1,1,0,0,0,0
"GNB",12222306,2021,122223,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489999996498227,12,5,32,0,25,0,1,0,1,0,0
"GNB",12222307,2021,122223,7,1,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0145000002812594,0,0,0,0,2,0,1,1,1,0,0
"GNB",12222308,2021,122223,8,1,2,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3.02650000038557,0,1,0,0,0,0,1,1,1,0,0
"GNB",12222309,2021,122223,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189999998547137,2,5,1,0,3,1,1,0,0,0,0
"GNB",12222501,2021,122225,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05000000074506,0,8,0,0,0,0,0,1,0,0,0
"GNB",12222502,2021,122225,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.01700000022538,7,3,1,0,18,0,1,1,1,0,0
"GNB",12222503,2021,122225,3,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55000000074506,0,0,0,0,12,1,1,1,1,0,0
"GNB",12222504,2021,122225,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01549999974668,0,0,0,0,20,0,0,1,0,0,0
"GNB",12222505,2021,122225,5,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0440000002272427,0,0,0,0,20,0,1,1,0,0,0
"GNB",12222506,2021,122225,6,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.07000000029802,0,0,0,0,13,1,1,1,1,0,0
"GNB",12222507,2021,122225,7,1,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.06000000052154,0,8,0,0,6,0,0,1,1,0,0
"GNB",12222508,2021,122225,8,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0054999999702,0,0,0,0,7,0,0,1,0,0,0
"GNB",12222509,2021,122225,9,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169999997597188,0,0,0,0,3,0,1,1,0,0,0
