"country","hhid","year","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",607,2021,6,7,2,3,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0
"SEN",608,2021,6,8,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",610,2021,6,10,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",611,2021,6,11,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",612,2021,6,12,2,4,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",613,2021,6,13,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",614,2021,6,14,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,3,0,0,0,1,0,0,0,0,0
"SEN",701,2021,7,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",702,2021,7,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",703,2021,7,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",713,2021,7,13,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",714,2021,7,14,1,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",715,2021,7,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",716,2021,7,16,1,4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",717,2021,7,17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",802,2021,8,2,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",803,2021,8,3,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",805,2021,8,5,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",807,2021,8,7,2,3,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",808,2021,8,8,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",809,2021,8,9,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,,0,0,0,0,5,0,1,1,0,0,0
"SEN",810,2021,8,10,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",812,2021,8,12,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"SEN",813,2021,8,13,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",814,2021,8,14,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",815,2021,8,15,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",816,2021,8,16,2,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,6,0,0,0,1,0,1,0,0,0
"SEN",902,2021,9,2,1,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",905,2021,9,5,1,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,0
"SEN",906,2021,9,6,1,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",907,2021,9,7,1,3,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,0,0
"SEN",908,2021,9,8,1,3,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,1,0,0
"SEN",909,2021,9,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",910,2021,9,10,1,2,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,,0,7,0,0,0,1,0,1,0,0,0
"SEN",911,2021,9,11,1,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0
"SEN",912,2021,9,12,1,4,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
"SEN",913,2021,9,13,1,3,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,1,1,0,0
"SEN",914,2021,9,14,1,3,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0
"SEN",915,2021,9,15,1,3,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",1001,2021,10,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0
"SEN",1002,2021,10,2,2,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",1003,2021,10,3,2,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,0,0
"SEN",1004,2021,10,4,2,3,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,,0,0,0,0,7,1,1,0,0,0,0
